"unique_id,crawl_date,crawl_timestamp,hotel_name,hotel_type_&_speciality,page_url,mmt_assured,safety_protocols_partner,safety_and_hygiene_measures,prepayment_required,country,state/_ut,city,hotel_address,facility,facilities_rating,couple_friendly,check-in_timing,check-out_timing,hotel_overview,amenities,hotel_star_rating,host_name,host_working_experience,hosting_since,interests,property_highlights,hotel_location_&_surroundings,restaurants_at_property,total_rooms,room_categories,room_amenities,activities_nearby,outdoor_sports/activities,general_services,transfers,beauty_&_spa,basic_facilities,health_&_wellness,food_&_drinks,safety_&_hygiene,average_rating,average_review,safety_&_hygiene_avg_rating,child_friendliness_avg_rating,location_avg_rating,total_photos,photos_urls,review_keywords"
"20090106161513779,12/12/20,12/12/2020 10:41:27,Beleza by the beach,Premium | Luxurious Business Stays,https://www.makemytrip.com/hotels/hotel-details?hotelId=20090106161513779&mtkeys=N$$s9rHC9RN7n9yYe7Y9Qr6GdkYhor%2F6HV26RSBR6LiprFPxv6t1qAT1JzvLDVln6c3jQPqBBFIUnAb0%2FL2xuygOShSqA68unPQZUA5CCr8nZAChCOYKj5Lb5CFBYfIsrbkJp6y4HdqV%2FFe4loYtsUhiG92ET6V%2FIngpM3ZP7WL2T2BIf1SRDLmXu%2BhZ4K1iBAZ4WqbGfywtP%2BvMgegEHKY4TAnzzuRsdobNqF38pKRy30%2FD7cl2FjN3iyFcuAmQAG2irNjntjDtNzAJCo%2FUCj4s2CV76IGWiGRRshbJnax7%2Fovpy%2BamiwwnJc%2FAkPk4Hp110ytSyLszTI%3D&_uCurrency=INR&checkin=12282020&checkout=12292020&city=CTGOI&cmp=SEO&country=IN&lat=15.29107&lng=73.91081&locusId=CTGOI&locusType=city&modifyDates=true&rank=1&roomStayQualifier=1e0e&searchText=Goa&seoReq=1607001058026,Yes,MySafety,""['Sanitized Environment | ', 'Trained Staff | ', 'Safe Practices | ', 'Safe Dining | ']"",Yes,India, Goa,Salcete,""Thandwaddo, Betalbatim,Salcete, Goa"",""['Free Parking | ', 'Kids Play Area | ', 'Free Wi-Fi | ', 'Outdoor Sports | ']"",3.9/5,3.9/5,,2 PM,""Set right by the calming golden sands of Colva, Beleza By The Beach offers a dreamy tropical stay, enriched with unique services and luxury rooms housed in gorgeous villas."",The resort features two outdoor pools with a dedicated small pool for kids.,,,,,,""['Free Parking | ', 'Kids Play Area | ', 'Free Wi-Fi | ', 'Outdoor Sports | ']"",,,,,,,,,,,,,,,,,,,,,,"
"200706181230205956,12/12/20,12/12/2020 10:41:31,""Taj Holiday Village Resort & Spa,Sinquerim,Goa"",Premium | Luxurious Business Stays,https://www.makemytrip.com/hotels/hotel-details?hotelId=200706181230205956&mtkeys=N$$s9rHC9RN7n9KABHi40NHeZWWUJjN8qNzmeoiRqhKYgRrIgtMIkUeWohA8lRt69AG3X99%2BD6VKmt3%2FZlsDNfJWT7T7h9sthJeXb4bGDvwnFRUCoV0ufZ9ALWse6Wsr45F1YxJflx4m6mFA4BTzArvDw9ivWKUnGj1q3XDpMd85nWfB5I3g4Fe%2FshnpIe9TP81ss1zMe8ksdmBVYa2krv4yX7Y0AsuqScV%2BOJnfRMY6XeG%2FFOz%2FeSm95L7VuPAz8YlOp0Z8m0f0568rKMHh5nPTVDS7Br94WNB7sk%2BMkuTSJqPC8guc2MCbxxPoHvH0267RxViZsYqqxt5wJ7tM6frXQ%3D%3D&_uCurrency=INR&checkin=12282020&checkout=12292020&city=CTGOI&cmp=SEO&country=IN&lat=15.49967&lng=73.76706&locusId=CTGOI&locusType=city&modifyDates=true&rank=2&roomStayQualifier=1e0e&searchText=Goa&seoReq=1607001058026,Yes,,[],Yes,India, P O Candolim,Sinquerim Beach,""Sinquerim Beach, P O Candolim"",""['Doctor on Call | ', 'Childcare Services | ', 'Free Wi-Fi | ', 'Outdoor Sports | ']"",4.4/5,4.4/5,,2 PM,""Experience a getaway like no other at the Taj Holiday Village Resort and Spa, amongst luxurious cottages and villas surrounded by lush gardens and the astounding view of the beach."",Enjoy signature wellness therapies at the on-site Jiva Spa. ,,,,,,""['Doctor on Call | ', 'Childcare Services | ', 'Free Wi-Fi | ', 'Outdoor Sports | ']"",,,,,,,,,,,,,,,,,,,,,,"
"200808160937473824,12/12/20,12/12/2020 10:41:55,Resort Terra Paraiso - A Beach Property.,Premium | Luxurious Business Stays,https://www.makemytrip.com/hotels/hotel-details?hotelId=200808160937473824&mtkeys=N$$s9rHC9RN7n%2BKYuJ5NbQ2iuNGn36deLU3nIzXUe1Qb1U2%2FoXwlyLOD6P2vrsIAVufSXcCFNsyEJnQDJkDfLh0yv%2FmX6xmOYdnwXdWg7V8v721LSBXAsJQUY2mrvJ7pxxL0520uZbfoeRjnVuPKd0LKNDgSeqqCBAoUvxS4DvDpBUL3T3Ny8gcfTA2i%2FeSvsaanNv3UOOjSWWQmli4qubFfWMwMI5QgBglnXdwSSeu9xfrcOCfLhCAnNUU%2FBjpo9cv8WPlgKpRjJVQ3c5gfEGXtSrM1HXkA9ottehdMbQY3Cpeaqei7upQbnpYxYiAR8mO&_uCurrency=INR&checkin=12282020&checkout=12292020&city=CTGOI&cmp=SEO&country=IN&lat=15.53645&lng=73.75955&locusId=CTGOI&locusType=city&modifyDates=true&rank=3&roomStayQualifier=1e0e&searchText=Goa&seoReq=1607001058026,Yes,MySafety,""['Sanitized Environment | ', 'Trained Staff | ', 'Safe Practices | ', 'Safe Dining | ']"",Yes,India, Bardez Goa, Calangute,""Gauravaddo, Opp Lane Of Pizza Hut , Calangute, Bardez Goa"",""['Free Parking | ', 'Free Wi-Fi | ', 'Lawn | ', 'Bar | ']"",4.3,4.3,,2 PM,Visit the breath-taking seaside abode flanked by deep blue seas on one side.,It has two outdoor swimming pools of which one is with a swim-up bar and both have designated shallow water areas for kids.,,,,,,""['Free Parking | ', 'Free Wi-Fi | ', 'Lawn | ', 'Bar | ']"",,,,,,,,,,,,,,,,,,,,,,"
"200703241029455940,12/12/20,12/12/2020 10:42:02,Caravela Beach Resort,Premium | Luxurious Business Stays,https://www.makemytrip.com/hotels/hotel-details?hotelId=200703241029455940&mtkeys=N$$s9rHC9RN7n%2FBOcT%2FDR0XLIzXyd6IhBWv29I2dHMAT4ppxrvyxq8QCrxzAJelCDeJI24U%2B1Tcxj2nUlgUfLCYJdoHFazigA2alXil%2BL9WuZz%2FNkb5MymODYXj8XNSBnNl3c7EfMU94TQYsr6vsCY%2FKC%2BVTwQrhlT4ok%2Fs2FGiCcCSCi5smJRqStxSH0KNOy0bDYEiVRgelMjWMGDNXiUNhCYlpeltI7%2FvQPlgBMp85JEo%2F4BIqL8PfK0AUXxCgPjTp4MmqSL9H%2Bi3LnZJUrI7nfU%2B6AKergzB2Xjcs1lPsQwS4pO6%2BqvvTTUMlp5Mwh84Ch0cMUPDqW8%3D&_uCurrency=INR&checkin=12282020&checkout=12292020&city=CTGOI&cmp=SEO&country=IN&lat=15.21118&lng=73.93577&locusId=CTGOI&locusType=city&modifyDates=true&rank=4&roomStayQualifier=1e0e&searchText=Goa&seoReq=1607001058026,Yes,,[],Yes,India, Salcete - Goa, Varca Village,""Varca Beach, Varca Village, Salcete - Goa"",""['Free Parking | ', 'Childcare Services | ', 'Free Wi-Fi | ', 'Outdoor Sports | ']"",3.4/5,3.4/5,1 PM,11 AM,Caravela Beach Resort located in South Goa is a Slice of Heaven renowned for its Luxurious rooms.,Bang on pristine white sand Varca beach overlooking the beautiful Arabian Sea.,,,,,,""['Free Parking | ', 'Childcare Services | ', 'Free Wi-Fi | ', 'Outdoor Sports | ']"",,,,,,,,,,,,,,,,,,,,,,"
"201111231032352264,12/12/20,12/12/2020 10:42:26,Radisson Blu Resort Goa,Premium | Luxurious Business Stays,https://www.makemytrip.com/hotels/hotel-details?hotelId=201111231032352264&mtkeys=N$$s9rHC9RN7n8GYvo38Rz%2F%2FjCLjF3MujMR6oY%2Fr9WmlThECVazE%2FFHZ4Z3GDvk3hd0DU2e0AzRT7R2eTtoKwre%2FPVrjvQYZjFtRocnV63phQFPzKU2vDi35Eo33txdiqjfJMvS7%2BVeFlFf2oHXVwmqUh034yHQkxn6bfh4uo%2FhCIQlC1zKgCne1HZ722%2F06zRhsRxXUE7p0MzXWKtg9eP9hkUHv%2BwS42XnKw%2B3iFDvg2UAdXqNJuFwtLPb2YP2WnfcVlxLOWp%2B5UErunUvfNlud651DZe0lm%2B45C7UZUahCkOWndWTt0wqnFDjsK%2Fu%2FzIFp1KmJsg81a3oJOW1CE6nPJBKXETGejhpD0S9mJ92IDdmZkPTfptqUGTEdzKVp6DFZkjmrGBelv515MKh2r%2FRcBDQSfnIWIowNSP%2BXqKlSIHM5DslpwGRTUKEvu5UIaJt%2FK%2FQTRaOrDm%2F%2BFJr%2B3GeL1qdgGue26sJO08dMtVHz1hvGABlN3biiDTj4h7BdAiIdhxJxoS%2BQNYBCYmWkpjVY8GFFfgggaezILjNjjVL5g47x2JpFGd7%2FjXa6CdMwSnzCifYS7C00Fc%2Fh2NOAvTekRyPvCaRhFEQ6eGmNuE0%2BAoa8O9lzsEUa2jeMHc2J2wnQIv2f6dyN%2BU2i36gu9rmThk68on%2Fw0Xv&_uCurrency=INR&checkin=12282020&checkout=12292020&city=CTGOI&cmp=SEO&country=IN&lat=15.17509&lng=73.94504&locusId=CTGOI&locusType=city&modifyDates=true&rank=5&roomStayQualifier=1e0e&searchText=Goa&seoReq=1607001058026,,,[],Yes,India, South Goa, Cavelossim Salcette,""Cavelossim Beach, Cavelossim Salcette, South Goa"",""['Doctor on Call | ', 'Childcare Services | ', 'Free Wi-Fi | ', 'Free Parking | ']"",4.3/5,4.3/5,,2 PM,""Plush accommodation, premium amenities, Portuguese architecture and a pleasant stay experience await you at the Radisson Blu Resort, Goa."",The in-house Sohum Spa offers a number of holistic wellness treatments.,,,,,,""['Doctor on Call | ', 'Childcare Services | ', 'Free Wi-Fi | ', 'Free Parking | ']"",,,,,,,,,,,,,,,,,,,,,,"
"200701122121192419,12/12/20,12/12/2020 10:43:02,Royal Orchid Beach Resort & Spa,Premium | Luxurious Business Stays,https://www.makemytrip.com/hotels/hotel-details?hotelId=200701122121192419&mtkeys=N$$s9rHC9RN7n9%2FRGkRVci1Qdzs4pKcVtsPn8j3TIaf3gJpejWZLaLS7m7cSZGE3qU%2BWnXL3BuIpAIAuCVNdQ1STObUfogFBryOdaPvy886081iI0dSQDTTOWNXgUaSdmGEW6DC35SVIKpWJ8J5wx4DddS0RGL%2Bo0l0ZCNYh6zMb%2BByPxcqDcLxanWJAKorpwWpZVA9jcnNTZ0XA89gO0Dyrk6%2BIASK1CkySsenCdNGkBQmsxyxY0EgTSV3Dx0W86dhJYa1HyEpEf8IRbSVWaoCftnvBRmiqH9fB1DpDulXMb5tt%2FaG%2FehUVpqbPNJHqzdkGkJs1Sc%2FEf9XOvk3PMBlag%3D%3D&_uCurrency=INR&checkin=12282020&checkout=12292020&city=CTGOI&cmp=SEO&country=IN&lat=15.31985&lng=73.90191&locusId=CTGOI&locusType=city&modifyDates=true&rank=6&roomStayQualifier=1e0e&searchText=Goa&seoReq=1607001058026,,MySafety,""['Sanitized Environment | ', 'Trained Staff | ', 'Safe Practices | ', 'Safe Dining | ']"",Yes,India,South Goa,Salcette,""Utorda Beach,Salcette,South Goa"",""['Free Parking | ', 'Free Wi-Fi | ', 'Lawn | ', 'Bar | ']"",4.4/5,4.4/5,,2 PM,""Located right by the beach, Royal Orchid Beach Resort & Spa offers a refreshing stay experience with various recreational facilities and amazing dining options."",Indulge in rejuventating Ayurvedic massage and special therapies at the in-house Spa centre along with sauna facilities.,,,,,,""['Free Parking | ', 'Free Wi-Fi | ', 'Lawn | ', 'Bar | ']"",,,,,,,,,,,,,,,,,,,,,,"
"20070209145406915,12/12/20,12/12/2020 10:43:16,Radisson Goa Candolim,Premium | Luxurious Business Stays,https://www.makemytrip.com/hotels/hotel-details?hotelId=20070209145406915&mtkeys=N$$s9rHC9RN7n%2FVUzELuR3Vq9m7lNDMA5JHX2zq9KuOLgBzeNuSKUJpeDR%2Bi4HLviebTcR7QyH7Bb0XW%2FQrUFT3AnGtxRsA0ES2rlBrmiVt2W52hOcM%2BwPKp27allEuwBJmW0ChbY1lNSfPosiaFMM1AoZOJpOawVigIy7L%2Fz6PRy5JfDRO8BpgzD66gkOjPb%2ByuxunfLN4DHsFDInGcrytUc5fctZe299sqOfuQ9UdjUZv%2FjgK7QTvWg5RqYOHG%2FBSd5BhE2NbjuMyLfB0X620rEfznO19eLFYHHI8iLCfcYoD5DJhZsyqgA%2BGliHGP7ZPYDbW1uYIaGYyuGoGm6NAPpp5qZEqVEEKW%2Fj3oK9tt0DRNqSaz6MwtxrIqgE%2FDs9n1Hit0y94WsaQe2hdywUPzUOwq1mcYasiVeACl%2Bo2G4nFitXAUSFfXJIFraYmCoVQBuvQWGgw7iPkTMiL0pOXB%2Fy1pUCQXfHm2cmWUXqQXUl5Ok1L3IgA4hsGyni6CGEvXfgz5OqOgbm98JqriiqbanqQZH%2BBmbs05%2Bto6DC8ZOTvPxyHc4ywAvgqk7N5iECz0nEl4A3aE69QbfFonSOhY%2BtQ2lGpZ2DVE%2FiyqMh%2BRKyBUL9fCyliJbNs5D5KoonQhE8yWtZiNCQ%3D&_uCurrency=INR&checkin=12282020&checkout=12292020&city=CTGOI&cmp=SEO&country=IN&lat=15.50944&lng=73.77013&locusId=CTGOI&locusType=city&modifyDates=true&rank=7&roomStayQualifier=1e0e&searchText=Goa&seoReq=1607001058026,,,[],Yes,India, Bardez, Bammonvaddo City: Candolim,""Fort Aguada Road, Bammonvaddo City: Candolim, Bardez"",""['Doctor on Call | ', 'Free Parking | ', 'Restaurant | ', 'Conference Room | ']"",4.3/5,4.3/5,,3 PM,,The hotel offers stylish rooms with a picturesque pool view. ,,,,,,""['Doctor on Call | ', 'Free Parking | ', 'Restaurant | ', 'Conference Room | ']"",,,,,,,,,,,,,,,,,,,,,,"
"201306181430341646,12/12/20,12/12/2020 10:44:01,Country Inn Suites By Radisson Goa Panjim,Premium | Luxurious Business Stays,https://www.makemytrip.com/hotels/hotel-details?hotelId=201306181430341646&mtkeys=N$$s9rHC9RN7n%2BLDMCcig17YDvoLP1xsVFmzHVuSjPx59t0%2B0pQns3kVIh2yXzQqlpcH%2BaocxuDw%2Fi0%2FxS0dEau3%2BJTL4WGpFrDghnzzaONcfyG0c2Cmj9Jqll%2B%2Fpo8D41NoNtnpFxf5NVmLttIXVbwma2ONTfmfJyzuJs6mnbssVaCxEWP%2FQycgKm1%2Fr6xXztoeGbUZfrGqo7RcrpW8Sr2fIyk%2B1%2BkH%2BRZK9awGu%2FRHf%2FyY8tKb%2BvvN%2BvF18cA9Q%2Bg9c0lwhRc76gqf%2FCfdptzPA6GYHZzq8pHJwZ6uBvaLJMXxLCIlpcdqwo5ddYdQnrmhwVSrNZssKKP%2FJAcwBzOKOfpUEimcaD5ndq4sxABGc8mL8ZX8YDLVdxreSGqIXmmk%2B6Kzw5Co%2B9s43VlsYdLlUssNuaFLelBZIVAB1tHv3gWrMFK6zhwgt8FdeFTcvg1YC5vczxvd8BLt2Y8ejdIz%2FVHSQib67bFFbLs%2FFmYfD6lc%2FKwUxgBDw%2BSe2FNBtQcmr4TBFa53%2FGh9f1XbCyw%2BzGa7VGK1SvsUx1j9hrzTCLTO%2BJdfWIC6WQIqgqRMjvrM5mNwKRnUU6710wjG1dkLlEHZ7gTtjDbMgXvyBc4mQEi5XzcR30RLEF8oNPXvqfvLorv7Lp23p0%3D&_uCurrency=INR&checkin=12282020&checkout=12292020&city=CTGOI&cmp=SEO&country=IN&lat=15.49731&lng=73.83&locusId=CTGOI&locusType=city&modifyDates=true&rank=8&roomStayQualifier=1e0e&searchText=Goa&seoReq=1607001058026,,,[],Yes,India, Panjim,Plot No. 31 Edc Patto Plaza,""Plot No. 31 Edc Patto Plaza, Panjim"",""['Free Parking | ', 'Childcare Services | ', 'Free Wi-Fi | ', 'Cafe | ']"",4.2/5,4.2/5,,2 PM,""Stay in the heart of Goa at the highly-modern Country Inn and Suites by Radisson, offering luxurious treatment and pleasant services"",The hotel features a rooftop swimming pool along with poolside benches overlooking stunning city views.,,,,,,""['Free Parking | ', 'Childcare Services | ', 'Free Wi-Fi | ', 'Cafe | ']"",,,,,,,,,,,,,,,,,,,,,,"
"201810091116205895,12/12/20,12/12/2020 10:44:36,""ITC Grand Goa, a Luxury Collection Resort & Spa"",Premium | Luxurious Business Stays,https://www.makemytrip.com/hotels/hotel-details?hotelId=201810091116205895&mtkeys=N$$s9rHC9RN7n8cNCwsLADxIfPhZmM6%2F0%2FbDG14kK7riAmA53td60U2WbmH1Bw8E69nKT%2FWnjP2FrfaTH6sfAjgombzp3E59Dqp015dTCd2B67nLG06kSPBchDVFa8fgAlckJ0mc3YVdhHyPOp%2BIQHd6D7jEsBb8p7Bk1HTAjOzG5%2Bgy1acdmsLvkQaS9Cenukhck12B0ehZoK1BwDa9mkYYTThkdPSe58ZgSWrw24%2BaGX4%2BNtI8DRL0GgTKCt0N5DFXu26PObax%2FKJNT9%2BcZF54xOAgoWk1OA0XtKC49Ls7ZkYZ2QPdd4EYKrJz2qX6RD%2BjoW4BgfAbMM8LjJoqhFlOA%3D%3D&_uCurrency=INR&checkin=12282020&checkout=12292020&city=CTGOI&cmp=SEO&country=IN&lat=15.3277&lng=73.89669&locusId=CTGOI&locusType=city&modifyDates=true&rank=9&roomStayQualifier=1e0e&searchText=Goa&seoReq=1607001058026,Yes,,[],Yes,India, SOUTH GOA 403 712, CANSAULIM,""AROSSIM BEACH, CANSAULIM, SOUTH GOA 403 712"",""['Free Parking | ', 'Kids Play Area | ', 'Childcare Services | ', 'Free Wi-Fi | ']"",4.4/5,4.4/5,,3 PM,""A luxurious beachside property, ITC Grand Goa Resort & Spa is known for its Indo-Portuguese architecture, fine dining options, and recreational facilities."",The outdoor swimming pool with a separate kids pool adds to the fun. ,,,,,,""['Free Parking | ', 'Kids Play Area | ', 'Childcare Services | ', 'Free Wi-Fi | ']"",,,,,,,,,,,,,,,,,,,,,,"
